id,name,abs_mag,est_dia_min,est_dia_max,epoch,min_orb_inter,jup_tisser,e,a,i,asc_node_long,peri_arg,orb_period,peri_dist,ap_dist,mean_ano,mean_mot,hazard
3685808,(2014 QX432),19.93,0.2745079817,0.6138185073,2459600.5,.0190093,4.632,.5871440639737416,1.366456203617234,6.439429784245443,111.8063270609897,68.6301163205738,583.434359393407,.5641495549832807,2.168762852251187,333.9467897142868,.6170359942021408,1
3685809,(2014 QY432),20.9,0.1756123185,0.3926810818,2459600.5,.0977199,3.416,.5136739381302935,2.278560691779747,4.529336575379084,93.82049602722773,160.223926268132,1256.288338034216,1.108123447964358,3.448997935595135,84.98454157996964,.2865584190356427,0
3685811,(2014 QZ432),19.59,0.3210369174,0.7178603705,2459600.5,.270703,3.423,.4508087515608597,2.336537919471467,1.938642210106291,201.3417290867618,87.53372204368746,1304.540832492124,1.283206177019926,3.389869661923007,48.67521003595021,.2759591658869546,0
3685812,(2014 QA433),21.8,0.1160259082,0.2594418179,2456903.5,.131144,6.026,.2975080774948197,.9669933942783574,38.44913766571511,155.6073633142395,322.0813087103822,347.3231154033632,.6793050485964131,1.254681739960302,245.9432109915924,1.036498822089381,0
3685810,(2014 QB433),22.4,0.0880146521,0.1968067451,2459600.5,.0912888,5.160,.1952371024627982,1.226869609752742,15.36917908646016,160.5492883069999,292.9562205889448,496.3591591554129,.9873391420449524,1.466400077460531,67.05778959412332,.7252812673237726,0
3685817,(2014 QC433),19.25,0.3754524794,0.8395372662,2459600.5,.219497,3.306,.5288636235094728,2.368133940385037,14.52987699236584,165.7228365805103,115.8733352965285,1331.091224239415,1.11571404371724,3.620553837052833,39.74659353460752,.2704547918612445,0
3685818,(2014 QD433),18.5,0.5303407233,1.1858779086,2459600.5,.279013,3.187,.5205840778964198,2.629728231502315,5.296670907355475,118.5951761137923,253.1671562945084,1557.631531149032,1.260733584987499,3.99872287801713,260.0036751652418,.2311201287344482,0
3685820,(2014 QE433),22.9,0.0699125232,0.1563291544,2456903.5,.241266,3.318,.4903058692706669,2.45120786273001,2.218322510612792,240.6391911288476,86.88234104684786,1401.743782460524,1.249366260831079,3.65304946462894,4.073276925998734,.2568229690079888,0
3686082,(2014 QJ433),18.79,0.4640395282,1.0376239294,2459600.5,.310836,4.398,.5320764031910178,1.442644758378097,27.49301001824944,17.47533995091841,164.1242712937211,632.9035476991382,.6750475242579042,2.21024199249829,237.6234573448793,.5688070501559778,0
3686081,(2014 QK433),18.4,0.5553349116,1.2417666126,2459600.5,.183188,2.680,.5999933305650971,2.991101648801983,39.20161912930313,308.6800867146804,2.183960147131142,1889.492555742877,1.196460608478528,4.785742689125438,170.2551787041302,.1905273449772665,0
3686083,(2014 QL433),19.9,0.2783267681,0.6223575734,2459600.5,.00958406,3.368,.7177103963963861,2.091732269945656,4.427487404378738,322.8143142801056,260.4406655105295,1104.988025237105,.5904742733278466,3.592990266563465,192.906502064549,.3257953858122148,1
3686080,(2014 QM433),23.0,0.0667659413,0.1492931834,2459600.5,.241332,3.474,.4503262487457974,2.259678068502966,5.528155266663485,185.6390511735318,181.1225256424337,1240.704286564586,1.242085720540877,3.277270416465056,53.9402633253707,.2901577788506012,0
3686085,(2014 QN433),22.4,0.0880146521,0.1968067451,2459600.5,.00286014,5.381,.4431406279652153,1.145495187156003,4.184165993248545,32.00441663390754,81.2759884905478,447.8043727642302,.63787973058856,1.653110643723446,275.7180917248002,.803922475740407,0
3686086,(2014 QO433),23.7,0.0483676488,0.1081533507,2456899.5,.2432,3.414,.4663489677593287,2.297262688977093,12.2187751109149,145.6786353710686,213.5697707820977,1271.78709970067,1.225936605300606,3.36858877265358,352.3950077850019,.283066245981525,0
3686149,(2014 QE434),24.1,0.040230458,0.0899580388,2456902.5,.0199928,3.512,.5171035967436431,2.136275499081371,11.03836754612086,145.4053204134213,175.666213415335,1140.47118328614,1.031599754871073,3.240951243291669,5.897828205181398,.315659005923061,0
3686154,(2014 QF434),21.9,0.1108038821,0.2477650126,2456903.5,.151753,5.557,.5149939611572308,1.082754438303239,15.98931627477527,164.5552296268851,30.67034522778616,411.522310996424,.5251424411608813,1.640366435445596,102.3142801495084,.8748006860875358,0
3686159,(2014 QJ434),20.6,0.2016299194,0.4508582062,2459600.5,.0957057,3.021,.6009593899121888,2.767828797479442,11.92613258058913,95.26223510371466,193.7679667670481,1681.927464202694,1.10447609196481,4.431181502994075,232.2579655791334,.2140401460003839,0
3686160,(2014 QK434),19.1,0.4023045798,0.8995803882,2459600.5,.00854906,3.731,.5032418954278844,1.940355020768525,5.978401230631635,252.2687252598156,166.1139201232084,987.2342751748002,.9638870823139603,2.916822959223089,229.5074859400103,.3646550864902439,1
